343,Mechanic Falls,ME,71,71
531,North Middletown,KY,42,141
996,Keyes,CA,76,85
167,Equality,AL,106,116
750,Neon,KY,101,147
410,Calhoun,KY,95,56
725,Alpine,AR,116,114
988,Mullan,ID,143,154
55,Coalgood,KY,57,149
640,Walnut,MS,40,76
302,Saint Petersburg,FL,51,119
387,Ojai,CA,68,119
476,Julian,CA,130,101
907,Veedersburg,IN,78,94
294,Orange Park,FL,59,137
661,Payson,AZ,126,154
745,Windom,KS,114,126
631,Urbana,IA,142,29
356,Ludlow,CA,110,87
419,Lindsay,MT,143,67
494,Palatka,FL,94,52
625,Bristol,ME,87,95
459,Harmony,IN,135,70
636,Ukiah,CA,86,89
106,Yuma,AZ,111,153
204,Alba,MI,91,103
344,Zachary,LA,60,152
599,Esmond,IL,75,90
515,Waresboro,GA,144,153
497,Hills,MN,137,134
162,Montgomery City,MO,70,44
499,Delavan,MN,32,64
362,Magnolia,MS,112,31
545,Byron,CA,136,120
712,Dundee,IA,61,105
257,Eureka Springs,AR,72,34
154,Baker,CA,31,148
715,Hyde Park,MA,65,156
493,Groveoak,AL,53,87
836,Kenner,LA,91,126
82,Many,LA,36,94
644,Seward,AK,120,35
391,Berryton,KS,60,139
696,Chilhowee,MO,79,49
905,Newark,IL,72,129
81,Cowgill,MO,136,27
31,Novinger,MO,108,111
299,Goodman,MS,101,117
84,Cobalt,CT,87,26
754,South Haven,MI,144,52
144,Eskridge,KS,107,63
305,Bennington,KS,93,83
226,Decatur,MS,71,117
224,West Hyannisport,MA,58,96
694,Ozona,FL,144,120
623,Jackson,AL,111,67
543,Lapeer,MI,128,114
819,Peaks Island,ME,59,110
243,Hazlehurst,MS,49,108
457,Chester,CA,69,123
871,Clarkston,MI,93,80
470,Healdsburg,CA,111,54
705,Hotchkiss,CO,69,71
690,Ravenden Springs,AR,67,108
62,Monroe,AR,131,150
365,Payson,IL,81,92
922,Kell,IL,70,58
838,Strasburg,CO,89,47
286,Five Points,AL,45,122
968,Norris City,IL,53,76
928,Coaling,AL,144,52
746,Orange City,IA,93,162
892,Effingham,KS,132,97
193,Corcoran,CA,81,139
225,Garden City,IA,54,119
573,Alton,MO,79,112
830,Greenway,AR,119,35
241,Woodsboro,MD,76,141
783,Strawn,IL,29,51
675,Dent,MN,70,136
270,Shingletown,CA,61,102
378,Clio,IA,46,115
104,Yalaha,FL,120,119
460,Leakesville,MS,107,72
804,Fort Lupton,CO,38,93
53,Shasta,CA,99,155
448,Canton,MN,123,151
751,Agency,MO,59,95
29,South Carrollton,KY,57,116
718,Taft,CA,107,146
213,Calpine,CA,46,43
624,Knobel,AR,95,62
908,Bullhead City,AZ,94,30
845,Tina,MO,131,28
685,Anthony,KS,45,161
731,Emmett,ID,57,31
311,South Haven,MN,30,87
866,Haverhill,IA,61,109
598,Middleboro,MA,108,149
541,Siloam,GA,105,92
889,Lena,LA,78,129
654,Lee,IL,27,51
841,Freeport,MI,113,50
446,Mid Florida,FL,110,50
249,Acme,LA,73,67
376,Gorham,KS,111,64
136,Bass Harbor,ME,137,61
455,Granger,IA,33,102
